agent_id	claim	value	exact_command	seed	artifact_path
A4	nominal fat band relative half-width (default path)	+/-8.11%	bmrEngine.js:322-324 (0.34,0.40) -> 0.03/0.37	n/a-analytic	A4/FINDINGS.md (blocked; in agent text)
A4	EFFECTIVE fat pass/fail half-width actually graded	+/-33.1%	mealSolver.js:212,218-225,250 -> (0.4925-0.2475)/2/0.37	n/a-analytic	A4/FINDINGS.md (blocked; in agent text)
A4	effective pass floor vs engine ESSENTIAL_FAT_PER_LB_LBM=0.3	0.2475 lbm = 17.5% BELOW declared essential floor	bmrEngine.js:286 vs mealSolver.js:250	n/a-analytic	A4/FINDINGS.md (blocked; in agent text)
A4	NASEM AMDR fat relative half-width for comparison	+/-27.3% (20-35% energy)	fetched nationalacademies.org/read/27957/chapter/5	n/a-citation	A4/FINDINGS.md (blocked; in agent text)
A6	Cut Protocol effective fat pass window, as % of band midpoint	+/-33.1%	DERIVED from backend/src/lib/mealSolver.js DAY_FAT_TOLERANCE_PCT=0.25 + bandMiss() over band lbm*0.34..0.40	n/a-documentary	A6/FINDINGS (blocked, delivered as text)
A2	MEASURED instrument check: raw persona dumps reproduce graded per-day claimed kcal	0 mismatches / 212 personas / 578 days	node docs/surgery/CAMPAIGN/solver-brain/A2/A2-taxonomy.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A2/A2-report.json
A2	MEASURED binding=PINNED_AT_BOUND, satisfiable-only missed days	70/110 = 63.6%	node docs/surgery/CAMPAIGN/solver-brain/A2/A2-taxonomy.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A2/A2-report.json
A2	MEASURED binding=POOL_EXHAUSTED, satisfiable-only missed days	21/110 = 19.1%	node docs/surgery/CAMPAIGN/solver-brain/A2/A2-taxonomy.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A2/A2-report.json
A2	MEASURED binding=FAT_OUT_OF_BAND, satisfiable-only missed days	10/110 = 9.1%	node docs/surgery/CAMPAIGN/solver-brain/A2/A2-taxonomy.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A2/A2-report.json
A2	MEASURED binding=CARB_OUT_OF_BAND, satisfiable-only missed days	9/110 = 8.2%	node docs/surgery/CAMPAIGN/solver-brain/A2/A2-taxonomy.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A2/A2-report.json
A2	MEASURED binding=PROTEIN_SHORT and KCAL_OUT_OF_BAND as sole binding constraint	0/110 = 0.0%	node docs/surgery/CAMPAIGN/solver-brain/A2/A2-taxonomy.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A2/A2-report.json
A2	MEASURED binding=STRUCTURAL, all-578-days missed	63/173 = 36.4%	node docs/surgery/CAMPAIGN/solver-brain/A2/A2-taxonomy.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A2/A2-report.json
A2	MEASURED binding taxonomy sum check ties to fleet totals	173 misses / 578 days	node docs/surgery/CAMPAIGN/solver-brain/A2/A2-taxonomy.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A2/A2-report.json
A2	MEASURED per-slot: warned slots pinned at 0.5x or 2.0x (brief claims 68.3%)	297/438 = 67.8%	node docs/surgery/CAMPAIGN/solver-brain/A2/A2-taxonomy.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A2/A2-report.json
A2	MEASURED per-slot: all filled slots pinned (brief claims 39.3%)	980/2432 = 40.3%	node docs/surgery/CAMPAIGN/solver-brain/A2/A2-taxonomy.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A2/A2-report.json
